"customer_id";"first_name";"last_name";"age";"email";"state";"city";"customer_address";"sex";"credit_bal"
1;"D'arcy";"Huddlestone";38;"dhuddlestone0@huffingtonpost.com";"rivers state";"ozoro";"agbaroh";"M";0.0
2;"Doll";"Cullity";43;"dcullity1@gravatar.com";"delta state";"warri";"opete";"F";0.0
3;"Dyanna";"Readshaw";29;"dreadshaw2@intel.com";"delta state";"ughelli";"niger cat";"F";0.0
4;"Sibley";"Paliser";30;"spaliser3@ucoz.ru";"rivers state";"ughelli";"npa";"F";0.0
5;"Darb";"Jamson";25;"djamson4@cafepress.com";"rivers state";"ozoro";"opete";"M";0.0
6;"Conrade";"Charity";34;"ccharity5@unicef.org";"rivers state";"ughelli";"npa";"M";63058.14
7;"Broddy";"Kaygill";34;"bkaygill6@samsung.com";"bayelsa state";"ughelli";"npa";"M";0.0
8;"Julianna";"Danihelka";34;"jdanihelka7@nasa.gov";"bayelsa state";"warri";"pti";"F";15877.08
9;"Ibbie";"Goaks";28;"igoaks8@printfriendly.com";"rivers state";"ozoro";"opete";"F";0.0
10;"Rolph";"Cooling";34;"rcooling9@accuweather.com";"bayelsa state";"ozoro";"niger cat";"M";0.0
11;"Granny";"Denniston";37;"gdennistona@people.com.cn";"rivers state";"ughelli";"agbaroh";"M";0.0
12;"Tiffani";"Pervew";0;"";"rivers state";"ughelli";"";"F";46843.89
13;"Corney";"Philipps";36;"cphilippsc@admin.ch";"bayelsa state";"ozoro";"niger cat";"M";70194.5
14;"Priscilla";"Jorat";0;"pjoratd@ebay.co.uk";"delta state";"ozoro";"";"F";0.0
15;"Jaye";"Dodge";33;"jdodgee@hostgator.com";"bayelsa state";"warri";"niger cat";"M";0.0
16;"Kara";"Marrill";22;"kmarrillf@github.com";"rivers state";"warri";"otuokutu";"F";0.0
17;"Peggy";"Rominov";30;"prominovg@joomla.org";"delta state";"warri";"opete";"F";11695.6
18;"Tanny";"Caldera";40;"tcalderah@ebay.com";"delta state";"warri";"jakpa";"M";0.0
19;"Wendell";"Fleisch";39;"wfleischi@cbsnews.com";"delta state";"ozoro";"pti";"M";0.0
20;"Henry";"Iddins";33;"hiddinsj@fotki.com";"bayelsa state";"warri";"otuokutu";"M";47784.13
21;"Egbert";"McAlroy";19;"emcalroyk@newsvine.com";"delta state";"ozoro";"agbaroh";"M";0.0
22;"Harrie";"Mungane";24;"hmunganel@netlog.com";"rivers state";"warri";"opete";"F";0.0
23;"Atlante";"Rableau";30;"arableaum@canalblog.com";"delta state";"ozoro";"niger cat";"F";23778.84
24;"Saw";"O'Lennachain";29;"solennachainn@cloudflare.com";"rivers state";"ughelli";"niger cat";"M";21670.53
25;"Giorgio";"Hartshorn";39;"ghartshorno@artisteer.com";"rivers state";"ozoro";"niger cat";"M";0.0
26;"Broddie";"Sonley";18;"bsonleyp@storify.com";"rivers state";"warri";"pti";"M";0.0
27;"Nissy";"McTrustie";26;"nmctrustieq@cam.ac.uk";"bayelsa state";"ughelli";"jakpa";"F";0.0
28;"Neill";"Barrows";29;"nbarrowsr@ox.ac.uk";"bayelsa state";"ughelli";"opete";"M";71572.83
29;"Kissee";"Bennike";44;"kbennikes@mlb.com";"bayelsa state";"ozoro";"pti";"F";74726.57
30;"Niccolo";"Wilsone";45;"nwilsonet@51.la";"bayelsa state";"ughelli";"niger cat";"M";63575.0
31;"Thoma";"Fatkin";43;"tfatkinu@cbc.ca";"bayelsa state";"ughelli";"opete";"M";0.0
32;"Waverly";"Biles";0;"wbilesv@ucla.edu";"rivers state";"ozoro";"pti";"M";0.0
33;"Ceil";"Martonfi";32;"cmartonfiw@columbia.edu";"bayelsa state";"warri";"agbaroh";"F";19818.71
34;"Addy";"Golightly";32;"agolightlyx@opera.com";"bayelsa state";"ozoro";"otuokutu";"M";0.0
35;"Evaleen";"Glyssanne";21;"eglyssanney@unicef.org";"delta state";"warri";"niger cat";"F";58621.11
